import_type,topic_number,topic_name,question_number,position,statement,option_a,option_b,option_c,option_d,correct_option,source_name
TOPIC,1,Tema 1,1,1,"De las siguientes partes, cuál abre el texto de la Constitución Española de 1978:",El Título Preliminar.,El Título I.,El Preámbulo.,El artículo 1.,C,Preguntas de Examenes Agente - Tema 1
TOPIC,1,Tema 1,2,2,"En relación con la reforma constitucional, según el artículo 167 de la Constitución Española, los proyectos de reforma constitucional deberán ser aprobados por una mayoría de:","Tres cuartos de ambas Cámaras. Si no hubiera acuerdo, se intentará obtenerlo mediante la creación de una Comisión de composición paritaria de Diputados y Senadores, que presentará un texto que será votado por el Congreso.","Tres cuartos de cada una de las Cámaras. Si no hubiera acuerdo entre ambas, se intentará obtenerlo mediante la creación de una Comisión de composición paritaria de Diputados y Senadores, que presentará un texto que será votado por el Congreso.","Tres quintos de cada una de las Cámaras. Si no hubiera acuerdo entre ambas, se intentará obtenerlo mediante la creación de una Comisión de composición paritaria de Diputados y Senadores, que presentará un texto que será votado por el Congreso y el Senado.","Tres cuartos de ambas Cámaras. Si no hubiera acuerdo, se intentará obtenerlo mediante la creación de una Comisión de composición paritaria, que presentará un texto que será votado por el Congreso debiendo obtener una mayoría de tres quintos.",C,Preguntas de Examenes Agente - Tema 1
TOPIC,1,Tema 1,3,3,La Constitución señala que España se constituye en:,Un estado social y de derecho.,Un estado democrático y de derecho.,Un Estado monárquico y democrático de derecho.,Un Estado social y democrático de derecho.,D,Preguntas de Examenes Agente - Tema 1
TOPIC,1,Tema 1,4,4,"La reforma de la Constitución Española, efectuada el 27 de agosto de 1992, afectó a su artículo:",13.1.,12.3.,13.2.,14.3.,C,Preguntas de Examenes Agente - Tema 1
TOPIC,1,Tema 1,5,5,El Título de la Constitución que trata de la reforma constitucional es el:,Primero.,Décimo.,Noveno.,Undécimo.,B,Preguntas de Examenes Agente - Tema 1
TOPIC,1,Tema 1,6,6,De conformidad con la vigente Constitución Española cualquier reforma constitucional requiere:,Ratificación mediante referéndum.,Disolución de las Cortes.,Convocatoria de nuevas elecciones.,Ninguna de las respuestas es correcta.,D,Preguntas de Examenes Agente - Tema 1
TOPIC,1,Tema 1,7,7,"La irretroactividad de las disposiciones sancionadoras no favorables o restrictivas de derechos individuales, se contiene en la Constitución Española:",En el artículo 8.1.,En el artículo 9.3.,En el artículo 9.1.,En el artículo 10.,B,Preguntas de Examenes Agente - Tema 1
TOPIC,1,Tema 1,8,8,"Siguiendo la tradición constitucional europea, una de las características formales de la Constitución Española de 1978 es:",Estar escrita y codificada en un texto único.,Ser de origen popular.,Ser rígida.,Todas las expuestas son características formales de nuestra Constitución.,D,Preguntas de Examenes Agente - Tema 1
TOPIC,1,Tema 1,9,9,Cuántas reformas ha sufrido la Constitución Española de 1978:,Una.,Dos.,Tres.,Cuatro.,D,Preguntas de Examenes Agente - Tema 1
TOPIC,1,Tema 1,10,10,El Título X de la Constitución Española hace referencia a:,De las relaciones entre el Gobierno y las Cortes Generales: Artículos 108-116.,Del Tribunal Constitucional: Artículos 159-165.,De la reforma constitucional: Artículos 166-169.,Del Poder Judicial: Artículos 117-127.,C,Preguntas de Examenes Agente - Tema 1
TOPIC,1,Tema 1,11,11,La Constitución española de 1978 consta de:,259 artículos.,159 artículos.,169 artículos.,69 artículos.,C,Preguntas de Examenes Agente - Tema 1
TOPIC,1,Tema 1,12,12,Las Asambleas de las Comunidades Autónomas podrán solicitar la reforma de la Constitución mediante:,Un proyecto de ley remitido a las Cortes.,Una proposición de ley remitida a las Cortes Generales.,La solicitud al Gobierno de la adopción de un proyecto de ley o remitiendo a la Mesa del Congreso una proposición de ley.,Un proyecto de ley remitido al Senado.,C,Preguntas de Examenes Agente - Tema 1
